wl,n
0.232,5.48E-03
0.234,5.31E-03
0.236,5.14E-03
0.238,4.98E-03
0.240,4.83E-03
0.242,4.68E-03
0.244,4.53E-03
0.246,4.39E-03
0.248,4.25E-03
0.250,4.12E-03
0.252,3.99E-03
0.254,3.87E-03
0.256,3.75E-03
0.258,3.63E-03
0.260,3.52E-03
0.262,3.41E-03
0.264,3.30E-03
0.266,3.20E-03
0.268,3.10E-03
0.270,3.00E-03
0.272,2.91E-03
0.274,2.82E-03
0.276,2.73E-03
0.278,2.64E-03
0.280,2.56E-03
0.282,2.48E-03
0.284,2.40E-03
0.286,2.33E-03
0.288,2.26E-03
0.290,2.19E-03
0.292,2.12E-03
0.294,2.05E-03
0.296,1.99E-03
0.298,1.93E-03
0.300,1.87E-03
0.302,1.81E-03
0.304,1.75E-03
0.306,1.70E-03
0.308,1.64E-03
0.310,1.59E-03
0.312,1.54E-03
0.314,1.49E-03
0.316,1.45E-03
0.318,1.40E-03
0.320,1.36E-03
0.322,1.32E-03
0.324,1.28E-03
0.326,1.24E-03
0.328,1.20E-03
0.330,1.16E-03
0.332,1.12E-03
0.334,1.09E-03
0.336,1.05E-03
0.338,1.02E-03
0.340,9.90E-04
0.342,9.59E-04
0.344,9.29E-04
0.346,9.00E-04
0.348,8.72E-04
0.350,8.45E-04
0.352,8.19E-04
0.354,7.93E-04
0.356,7.68E-04
0.358,7.44E-04
0.360,7.21E-04
0.362,6.99E-04
0.364,6.77E-04
0.366,6.56E-04
0.368,6.35E-04
0.370,6.16E-04
0.372,5.96E-04
0.374,5.78E-04
0.376,5.60E-04
0.378,5.42E-04
0.380,5.25E-04
0.382,5.09E-04
0.384,4.93E-04
0.386,4.78E-04
0.388,4.63E-04
0.390,4.48E-04
0.392,4.34E-04
0.394,4.21E-04
0.396,4.08E-04
0.398,3.95E-04
0.400,3.83E-04
0.402,3.71E-04
0.404,3.59E-04
0.406,3.48E-04
0.408,3.37E-04
0.410,3.27E-04
0.412,3.16E-04
0.414,3.07E-04
0.416,2.97E-04
0.418,2.88E-04
0.420,2.79E-04
0.422,2.70E-04
0.424,2.62E-04
0.426,2.53E-04
0.428,2.46E-04
0.430,2.38E-04
0.432,2.30E-04
0.434,2.23E-04
0.436,2.16E-04
0.438,2.10E-04
0.440,2.03E-04
0.442,1.97E-04
0.444,1.91E-04
0.446,1.85E-04
0.448,1.79E-04
0.450,1.73E-04
0.452,1.68E-04
0.454,1.63E-04
0.456,1.58E-04
0.458,1.53E-04
0.460,1.48E-04
0.462,1.43E-04
0.464,1.39E-04
0.466,1.35E-04
0.468,1.30E-04
0.470,1.26E-04
0.472,1.22E-04
0.474,1.18E-04
0.476,1.15E-04
0.478,1.11E-04
0.480,1.08E-04
0.482,1.04E-04
0.484,1.01E-04
0.486,9.80E-05
0.488,9.49E-05
0.490,9.20E-05
0.492,8.91E-05
0.494,8.63E-05
0.496,8.36E-05
0.498,8.10E-05
0.500,7.85E-05
0.502,7.60E-05
0.504,7.37E-05
0.506,7.14E-05
0.508,6.91E-05
0.510,6.70E-05
0.512,6.49E-05
0.514,6.29E-05
0.516,6.09E-05
0.518,5.90E-05
0.520,5.72E-05
0.522,5.54E-05
0.524,5.37E-05
0.526,5.20E-05
0.528,5.04E-05
0.530,4.88E-05
0.532,4.73E-05
0.534,4.58E-05
0.536,4.44E-05
0.538,4.30E-05
0.540,4.16E-05
0.542,4.04E-05
0.544,3.91E-05
0.546,3.79E-05
0.548,3.67E-05
0.550,3.55E-05
0.552,3.44E-05
0.554,3.34E-05
0.556,3.23E-05
0.558,3.13E-05
0.560,3.03E-05
0.562,2.94E-05
0.564,2.85E-05
0.566,2.76E-05
0.568,2.67E-05
0.570,2.59E-05
0.572,2.51E-05
0.574,2.43E-05
0.576,2.35E-05
0.578,2.28E-05
0.580,2.21E-05
0.582,2.14E-05
0.584,2.07E-05
0.586,2.01E-05
0.588,1.95E-05
0.590,1.89E-05
0.592,1.83E-05
0.594,1.77E-05
0.596,1.72E-05
0.598,1.66E-05
0.600,1.61E-05
0.602,1.56E-05
0.604,1.51E-05
0.606,1.46E-05
0.608,1.42E-05
0.610,1.37E-05
0.612,1.33E-05
0.614,1.29E-05
0.616,1.25E-05
0.618,1.21E-05
0.620,1.17E-05
0.622,1.14E-05
0.624,1.10E-05
0.626,1.07E-05
0.628,1.03E-05
0.630,1.00E-05
0.632,9.70E-06
0.634,9.39E-06
0.636,9.10E-06
0.638,8.82E-06
0.640,8.54E-06
0.642,8.28E-06
0.644,8.02E-06
0.646,7.77E-06
0.648,7.53E-06
0.650,7.29E-06
0.652,7.06E-06
0.654,6.84E-06
0.656,6.63E-06
0.658,6.42E-06
0.660,6.22E-06
0.662,6.03E-06
0.664,5.84E-06
0.666,5.66E-06
0.668,5.48E-06
0.670,5.31E-06
0.672,5.15E-06
0.674,4.99E-06
0.676,4.83E-06
0.678,4.68E-06
0.680,4.53E-06
0.682,4.39E-06
0.684,4.25E-06
0.686,4.12E-06
0.688,3.99E-06
0.690,3.87E-06
0.692,3.75E-06
0.694,3.63E-06
0.696,3.52E-06
0.698,3.41E-06
0.700,3.30E-06
0.702,3.20E-06
0.704,3.10E-06
0.706,3.00E-06
0.708,2.91E-06
0.710,2.82E-06
0.712,2.73E-06
0.714,2.65E-06
0.716,2.56E-06
0.718,2.48E-06
0.720,2.41E-06
0.722,2.33E-06
0.724,2.26E-06
0.726,2.19E-06
0.728,2.12E-06
0.730,2.05E-06
0.732,1.99E-06
0.734,1.93E-06
0.736,1.87E-06
0.738,1.81E-06
0.740,1.75E-06
0.742,1.70E-06
0.744,1.64E-06
0.746,1.59E-06
0.748,1.54E-06
0.750,1.50E-06
0.752,1.45E-06
0.754,1.40E-06
0.756,1.36E-06
0.758,1.32E-06
0.760,1.28E-06
0.762,1.24E-06
0.764,1.20E-06
0.766,1.16E-06
0.768,1.12E-06
0.770,1.09E-06
0.772,1.06E-06
0.774,1.02E-06
0.776,9.91E-07
0.778,9.60E-07
0.780,9.30E-07
0.782,9.01E-07
0.784,8.73E-07
0.786,8.45E-07
0.788,8.19E-07
0.790,7.94E-07
0.792,7.69E-07
0.794,7.45E-07
0.796,7.22E-07
0.798,6.99E-07
0.800,6.77E-07
0.802,6.56E-07
0.804,6.36E-07
0.806,6.16E-07
0.808,5.97E-07
0.810,5.78E-07
0.812,5.60E-07
0.814,5.43E-07
0.816,5.26E-07
0.818,5.09E-07
0.820,4.93E-07
0.822,4.78E-07
0.824,4.63E-07
0.826,4.49E-07
0.828,4.35E-07
0.830,4.21E-07
0.832,4.08E-07
0.834,3.95E-07
0.836,3.83E-07
0.838,3.71E-07
0.840,3.59E-07
0.842,3.48E-07
0.844,3.37E-07
0.846,3.27E-07
0.848,3.17E-07
0.850,3.07E-07
0.852,2.97E-07
0.854,2.88E-07
0.856,2.79E-07
0.858,2.70E-07
0.860,2.62E-07
0.862,2.54E-07
0.864,2.46E-07
0.866,2.38E-07
0.868,2.31E-07
0.870,2.23E-07
0.872,2.17E-07
0.874,2.10E-07
0.876,2.03E-07
0.878,1.97E-07
0.880,1.91E-07
0.882,1.85E-07
0.884,1.79E-07
0.886,1.73E-07
0.888,1.68E-07
0.890,1.63E-07
0.892,1.58E-07
0.894,1.53E-07
0.896,1.48E-07
0.898,1.43E-07
0.900,1.39E-07
0.902,1.35E-07
0.904,1.30E-07
0.906,1.26E-07
0.908,1.22E-07
0.910,1.19E-07
0.912,1.15E-07
0.914,1.11E-07
0.916,1.08E-07
0.918,1.04E-07
0.920,1.01E-07
0.922,9.80E-08
0.924,9.50E-08
0.926,9.20E-08
0.928,8.91E-08
0.930,8.64E-08
0.932,8.37E-08
0.934,8.11E-08
0.936,7.85E-08
0.938,7.61E-08
0.940,7.37E-08
0.942,7.14E-08
0.944,6.92E-08
0.946,6.70E-08
0.948,6.49E-08
0.950,6.29E-08
0.952,6.10E-08
0.954,5.90E-08
0.956,5.72E-08
0.958,5.54E-08
0.960,5.37E-08
0.962,5.20E-08
0.964,5.04E-08
0.966,4.88E-08
0.968,4.73E-08
0.970,4.58E-08
0.972,4.44E-08
0.974,4.30E-08
0.976,4.17E-08
0.978,4.04E-08
0.980,3.91E-08
0.982,3.79E-08
0.984,3.67E-08
0.986,3.56E-08
0.988,3.45E-08
0.990,3.34E-08
0.992,3.23E-08
0.994,3.13E-08
0.996,3.04E-08
0.998,2.94E-08
1.000,2.85E-08
1.002,2.76E-08
1.004,2.67E-08
1.006,2.59E-08
1.008,2.51E-08
1.010,2.43E-08
1.012,2.36E-08
1.014,2.28E-08
1.016,2.21E-08
1.018,2.14E-08
1.020,2.08E-08
1.022,2.01E-08
1.024,1.95E-08
1.026,1.89E-08
1.028,1.83E-08
1.030,1.77E-08
1.032,1.72E-08
1.034,1.66E-08
1.036,1.61E-08
1.038,1.56E-08
1.040,1.51E-08
1.042,1.46E-08
1.044,1.42E-08
1.046,1.37E-08
1.048,1.33E-08
1.050,1.29E-08
1.052,1.25E-08
1.054,1.21E-08
1.056,1.17E-08
1.058,1.14E-08
1.060,1.10E-08
1.062,1.07E-08
1.064,1.03E-08
1.066,1.00E-08
1.068,9.70E-09
1.070,9.40E-09
1.072,9.10E-09
1.074,8.80E-09
1.076,8.50E-09
1.078,8.30E-09
1.080,8.00E-09
1.082,7.80E-09
1.084,7.50E-09
1.086,7.30E-09
1.088,7.10E-09
1.090,6.80E-09
1.092,6.60E-09
1.094,6.40E-09
1.096,6.20E-09
1.098,6.00E-09
1.100,5.80E-09
1.102,5.70E-09
1.104,5.50E-09
1.106,5.30E-09
1.108,5.10E-09
1.110,5.00E-09
1.112,4.80E-09
1.114,4.70E-09
1.116,4.50E-09
1.118,4.40E-09
1.120,4.30E-09
1.122,4.10E-09
1.124,4.00E-09
1.126,3.90E-09
1.128,3.80E-09
1.130,3.60E-09
1.132,3.50E-09
1.134,3.40E-09
1.136,3.30E-09
1.138,3.20E-09
1.140,3.10E-09
1.142,3.00E-09
1.144,2.90E-09
1.146,2.80E-09
1.148,2.70E-09
1.150,2.60E-09
1.152,2.60E-09
1.154,2.50E-09
1.156,2.40E-09
1.158,2.30E-09
1.160,2.30E-09
1.162,2.20E-09
1.164,2.10E-09
1.166,2.10E-09
1.168,2.00E-09
1.170,1.90E-09
1.172,1.90E-09
1.174,1.80E-09
1.176,1.80E-09
1.178,1.70E-09
1.180,1.60E-09
1.182,1.60E-09
1.184,1.50E-09
1.186,1.50E-09
1.188,1.40E-09
1.190,1.40E-09
1.192,1.40E-09
1.194,1.30E-09
1.196,1.30E-09
1.198,1.20E-09
1.200,1.20E-09
