wl,n
2.7061,2.38E-03
2.7175,2.34E-03
2.7289,1.82E-03
2.7347,1.43E-03
2.7462,1.14E-03
2.7579,1.61E-03
2.7697,1.36E-03
2.7756,1.31E-03
2.7876,1.91E-03
2.7996,1.90E-03
2.8057,1.48E-03
2.8179,8.07E-04
2.8240,1.15E-03
2.8364,1.96E-03
2.8489,2.33E-03
2.8551,2.34E-03
2.8678,1.55E-03
2.8741,1.21E-03
2.8869,1.49E-03
2.8998,1.84E-03
2.9063,1.89E-03
2.9194,1.84E-03
2.9260,1.74E-03
2.9393,1.87E-03
2.9460,1.83E-03
2.9594,1.98E-03
2.9662,1.93E-03
2.9798,2.09E-03
2.9867,2.52E-03
2.9936,2.78E-03
3.0075,2.26E-03
3.0145,1.71E-03
3.0286,1.20E-03
3.0357,1.33E-03
3.0499,1.47E-03
3.0571,1.34E-03
3.0644,1.37E-03
3.0789,1.79E-03
3.0863,1.88E-03
3.0936,1.86E-03
3.1085,1.91E-03
3.1159,2.02E-03
3.1234,2.13E-03
3.1386,2.27E-03
3.1462,2.35E-03
3.1538,2.44E-03
3.1693,2.30E-03
3.1770,2.11E-03
3.1848,2.12E-03
3.1927,2.33E-03
3.2085,3.19E-03
3.2164,3.75E-03
3.2244,4.06E-03
3.2325,4.21E-03
3.2487,5.15E-03
3.2569,5.80E-03
3.2651,6.34E-03
3.2733,6.67E-03
3.2899,6.46E-03
3.2983,5.72E-03
3.3067,4.89E-03
3.3152,4.55E-03
3.3237,5.21E-03
3.3322,7.29E-03
3.3494,1.69E-02
3.3581,2.26E-02
3.3668,2.51E-02
3.3756,2.26E-02
3.3844,1.74E-02
3.3933,1.38E-02
3.4022,1.26E-02
3.4111,1.17E-02
3.4292,8.67E-03
3.4383,7.57E-03
3.4474,6.84E-03
3.4566,6.77E-03
3.4658,7.28E-03
3.4751,7.70E-03
3.4845,7.06E-03
3.4939,5.47E-03
3.5033,4.07E-03
3.5128,3.16E-03
3.5224,2.34E-03
3.5320,1.72E-03
3.5416,1.58E-03
3.5513,1.83E-03
3.5611,1.89E-03
3.5709,1.67E-03
3.5807,1.50E-03
3.5907,1.55E-03
3.6006,1.74E-03
3.6107,1.92E-03
3.6207,1.96E-03
3.6309,1.96E-03
3.6411,1.86E-03
3.6513,1.54E-03
3.6617,1.47E-03
3.6720,1.72E-03
3.6825,1.76E-03
3.6930,1.53E-03
3.7035,1.54E-03
3.7141,1.71E-03
3.7248,1.85E-03
3.7355,1.71E-03
3.7463,1.41E-03
3.7572,1.33E-03
3.7681,1.63E-03
3.7791,1.88E-03
3.7901,1.81E-03
3.8013,1.79E-03
3.8124,1.80E-03
3.8237,1.64E-03
3.8350,1.48E-03
3.8464,1.60E-03
3.8578,1.78E-03
3.8693,1.71E-03
3.8809,1.44E-03
3.8926,1.34E-03
3.9043,1.60E-03
3.9161,1.85E-03
3.9280,1.69E-03
3.9399,1.46E-03
3.9519,1.43E-03
3.9640,1.58E-03
3.9762,1.77E-03
3.9884,1.76E-03
4.0007,1.42E-03
4.0131,1.25E-03
4.0255,1.42E-03
4.0381,1.80E-03
4.0507,2.21E-03
4.0634,2.37E-03
4.0762,2.29E-03
4.0890,2.24E-03
4.1020,2.33E-03
4.1150,2.58E-03
4.1281,2.74E-03
4.1413,2.65E-03
4.1546,2.40E-03
4.1679,2.18E-03
4.1814,1.95E-03
4.1949,1.80E-03
4.2085,1.74E-03
4.2222,1.79E-03
4.2360,2.96E-03
4.2499,2.61E-03
4.2639,2.64E-03
4.2780,2.45E-03
4.2921,1.80E-03
4.3064,1.51E-03
4.3208,1.73E-03
4.3352,2.31E-03
4.3498,2.64E-03
4.3644,2.71E-03
4.3791,2.73E-03
4.3940,2.85E-03
4.4089,3.03E-03
4.4240,3.33E-03
4.4391,3.64E-03
4.4544,3.99E-03
4.4697,4.37E-03
4.4852,4.50E-03
4.5008,4.34E-03
4.5165,4.10E-03
4.5323,4.02E-03
4.5482,3.91E-03
4.5642,3.46E-03
4.5803,2.88E-03
4.5965,2.43E-03
4.6129,2.26E-03
4.6294,2.29E-03
4.6460,2.25E-03
4.6627,2.06E-03
4.6795,2.06E-03
4.6965,2.25E-03
4.7136,2.33E-03
4.7308,2.35E-03
4.7481,2.27E-03
4.7655,2.39E-03
4.7831,3.00E-03
4.8008,3.46E-03
4.8187,3.35E-03
4.8367,3.15E-03
4.8548,3.27E-03
4.8730,3.37E-03
4.8914,3.20E-03
4.9100,3.21E-03
4.9286,3.30E-03
4.9474,3.39E-03
4.9664,3.47E-03
4.9855,3.45E-03
5.0047,3.61E-03
5.0241,3.74E-03
5.0437,3.51E-03
5.0634,3.34E-03
5.0832,3.20E-03
5.1033,3.12E-03
5.1234,3.27E-03
