wl,n
5.4693,1.45491
5.4925,1.45028
5.5159,1.44521
5.5394,1.43918
5.5632,1.43145
5.5872,1.42127
5.6114,1.40911
5.6358,1.39244
5.6604,1.36717
5.6852,1.33151
5.7103,1.27262
5.7355,1.19759
5.7610,1.21707
5.7867,1.38944
5.8127,1.65093
5.8389,1.83100
5.8653,1.80268
5.8919,1.70765
5.9188,1.65369
5.9460,1.62648
5.9734,1.60708
6.0011,1.59271
6.0290,1.58032
6.0571,1.56804
6.0856,1.55853
6.1143,1.55170
6.1433,1.54442
6.1725,1.53857
6.2020,1.53536
6.2319,1.53200
6.2620,1.52563
6.2924,1.51833
6.3231,1.51625
6.3541,1.51936
6.3854,1.51856
6.4170,1.51280
6.4489,1.50701
6.4811,1.50156
6.5137,1.49597
6.5466,1.49177
6.5798,1.48589
6.6134,1.48112
6.6473,1.48466
6.6816,1.48378
6.7162,1.47153
6.7512,1.46173
6.7865,1.46006
6.8223,1.46002
6.8583,1.46075
6.8948,1.46485
6.9317,1.46618
6.9690,1.46021
7.0066,1.44202
7.0447,1.41615
7.0832,1.42705
7.1221,1.46680
7.1615,1.47306
7.2013,1.44888
7.2415,1.43431
7.2822,1.44464
7.3233,1.45459
7.3649,1.43632
7.4070,1.40586
7.4496,1.38578
7.4926,1.36725
7.5362,1.33474
7.5803,1.29253
7.6249,1.24522
7.6700,1.19301
7.7156,1.17092
7.7618,1.20793
7.8086,1.28160
7.8559,1.38170
7.9038,1.53949
7.9523,1.70521
8.0014,1.82389
8.0511,1.92141
8.1014,1.93253
8.1524,1.84944
8.2040,1.76797
8.2562,1.71383
8.3091,1.67401
8.3628,1.64001
8.4171,1.60858
8.4721,1.58346
8.5278,1.56603
8.5843,1.54217
8.6415,1.50207
8.6995,1.45630
8.7583,1.42098
8.8179,1.40294
8.8783,1.43215
8.9395,1.50643
9.0016,1.57258
9.0645,1.67477
9.1284,1.82059
9.1931,1.88114
9.2588,1.84268
9.3254,1.78046
9.3930,1.72601
9.4615,1.68799
9.5311,1.66834
9.6017,1.66381
9.6733,1.65120
9.7461,1.64332
9.8199,1.68815
9.8949,1.72380
9.9710,1.69689
10.048,1.66393
10.127,1.64969
10.207,1.64728
10.288,1.65261
10.370,1.65357
10.453,1.64708
10.538,1.63832
10.625,1.63038
10.713,1.62369
10.802,1.61763
10.893,1.60939
10.985,1.59926
11.079,1.59487
11.174,1.59442
11.272,1.59101
11.370,1.60004
11.471,1.62593
11.573,1.63487
11.678,1.62288
11.784,1.61410
11.892,1.61118
12.002,1.60950
12.114,1.60662
12.229,1.60178
12.345,1.59666
12.464,1.59136
12.585,1.58976
12.708,1.58844
12.834,1.57832
12.962,1.56594
13.093,1.55212
13.227,1.52759
13.363,1.47368
13.502,1.41089
13.645,1.51756
13.790,1.76188
13.938,1.83856
14.089,1.74766
14.244,1.70043
14.403,1.67956
14.564,1.66168
14.730,1.64964
14.899,1.64074
15.072,1.63580
15.250,1.63292
15.431,1.62609
15.617,1.62066
15.808,1.61792
16.003,1.61632
16.203,1.61404
16.408,1.61267
16.618,1.60926
16.834,1.60441
17.056,1.60070
17.283,1.59761
17.517,1.59529
17.757,1.59207
18.003,1.58890
18.257,1.58650
18.518,1.58461
18.786,1.58432
19.062,1.58322
19.347,1.58226
19.640,1.58606
19.942,1.59610

wl,k
0.40,2.31E-06
0.41,1.99E-06
0.42,1.76E-06
0.43,1.59E-06
0.44,1.48E-06
0.45,1.40E-06
0.46,1.37E-06
0.47,1.35E-06
0.48,1.33E-06
0.49,1.35E-06
0.50,1.32E-06
0.51,1.36E-06
0.52,1.36E-06
0.53,1.35E-06
0.54,1.33E-06
0.55,1.32E-06
0.56,1.36E-06
0.57,1.40E-06
0.58,1.39E-06
0.59,1.38E-06
0.60,1.29E-06
0.61,1.29E-06
0.62,1.25E-06
0.63,1.23E-06
0.64,1.17E-06
0.65,1.09E-06
0.66,1.01E-06
0.67,9.51E-07
0.68,9.11E-07
0.69,8.72E-07
0.70,8.64E-07
0.71,8.60E-07
0.72,8.52E-07
0.73,8.32E-07
0.74,8.28E-07
0.75,7.84E-07
0.76,7.43E-07
0.77,7.56E-07
0.78,7.45E-07
0.79,7.64E-07
0.80,7.56E-07
0.81,7.49E-07
0.82,8.66E-07
0.83,1.17E-06
0.84,6.77E-07
0.85,7.58E-07
0.86,7.04E-07
