wl,n
10.370,1.52929
10.453,1.53864
10.538,1.54351
10.625,1.54387
10.713,1.54319
10.802,1.54400
10.893,1.54380
10.985,1.54212
11.079,1.53927
11.174,1.53785
11.272,1.53791
11.370,1.53686
11.471,1.53642
11.573,1.53593
11.678,1.53504
11.784,1.53307
11.892,1.53267
12.002,1.53579
12.114,1.53733
12.229,1.53473
12.345,1.53192
12.464,1.52925
12.585,1.52563
12.708,1.52309
12.834,1.52083
12.962,1.51979
13.093,1.51941
13.227,1.51695
13.363,1.51318
13.502,1.51087
13.645,1.50841
13.790,1.50402
13.938,1.49857
14.089,1.49562
14.244,1.49796
14.403,1.50559
14.564,1.51563
14.730,1.52412
14.899,1.52340
15.072,1.51161
15.250,1.50001
15.431,1.49916
15.617,1.51306
15.808,1.52972
16.003,1.54134
16.203,1.55847
16.408,1.58274
16.618,1.59725
16.834,1.59202
17.056,1.57978
17.283,1.57125
17.517,1.56804
17.757,1.56479
18.003,1.55895
18.257,1.55685
18.518,1.55505
18.786,1.55304
19.062,1.55000
19.347,1.54672
19.640,1.54316
19.942,1.54354

wl,k
0.40,2.72E-06
0.41,2.35E-06
0.42,2.16E-06
0.43,1.96E-06
0.44,1.82E-06
0.45,1.71E-06
0.46,1.64E-06
0.47,1.60E-06
0.48,1.58E-06
0.49,1.61E-06
0.50,1.67E-06
0.51,1.75E-06
0.52,1.83E-06
0.53,1.96E-06
0.54,2.09E-06
0.55,2.17E-06
0.56,2.20E-06
0.57,2.27E-06
0.58,2.34E-06
0.59,2.30E-06
0.60,2.15E-06
0.61,2.00E-06
0.62,1.90E-06
0.63,1.80E-06
0.64,1.68E-06
0.65,1.54E-06
0.66,1.44E-06
0.67,1.29E-06
0.68,1.14E-06
0.69,1.01E-06
0.70,8.96E-07
0.71,8.02E-07
0.72,7.67E-07
0.73,7.15E-07
0.74,7.07E-07
0.75,7.06E-07
0.76,6.66E-07
0.77,6.60E-07
0.78,6.47E-07
0.79,6.13E-07
0.80,6.16E-07
0.81,6.26E-07
0.82,5.30E-07
0.83,5.22E-07
0.84,5.10E-07
0.85,4.62E-07
0.86,4.50E-07
0.87,7.13E-07
0.88,1.08E-06
0.89,1.04E-06
0.90,8.17E-07
0.91,1.02E-06
0.92,9.17E-07
0.93,4.52E-07
0.94,3.63E-07
0.95,1.34E-07
0.96,6.20E-07
0.97,5.58E-07
0.98,4.46E-07
0.99,3.32E-07
1.00,2.32E-07
1.01,6.76E-07
1.02,9.18E-07
1.03,9.27E-07
1.04,8.74E-07
1.05,7.94E-07
1.06,7.77E-07
1.07,7.02E-07
1.08,6.53E-07
1.09,6.57E-07
1.10,5.95E-07
1.11,6.26E-07
1.12,7.26E-07
1.13,8.41E-07
1.14,1.32E-06
1.15,1.86E-06
1.16,3.63E-06
1.17,6.46E-06
1.18,6.57E-06
1.19,7.64E-06
1.20,7.76E-06
1.21,5.14E-06
1.22,3.08E-06
1.23,2.07E-06
1.24,1.60E-06
1.25,1.35E-06
1.26,1.23E-06
1.27,9.00E-07
1.28,1.05E-06
1.29,9.67E-07
1.30,9.31E-07
1.31,8.83E-07
1.32,8.35E-07
1.33,8.65E-07
1.34,9.25E-07
1.35,1.10E-06
1.36,1.56E-06
1.37,2.42E-06
1.38,5.17E-06
1.39,5.99E-06
1.40,7.58E-06
1.41,7.68E-06
1.42,8.18E-06
1.43,8.03E-06
1.44,5.30E-06
1.45,4.32E-06
1.46,3.61E-06
1.47,3.41E-06
1.48,2.20E-06
1.49,2.74E-06
1.50,2.36E-06
1.51,2.24E-06
1.52,2.24E-06
1.53,2.16E-06
1.54,1.85E-06
1.55,2.04E-06
1.56,1.90E-06
1.57,1.81E-06
1.58,1.85E-06
1.59,1.92E-06
1.60,1.98E-06
1.61,2.11E-06
1.62,2.31E-06
1.63,2.52E-06
1.64,2.66E-06
1.65,3.12E-06
1.66,4.75E-06
1.67,6.43E-06
1.68,9.27E-06
1.69,2.00E-05
1.70,5.29E-05
1.71,1.07E-04
1.72,1.16E-04
1.73,6.58E-05
1.74,6.80E-05
1.75,7.02E-05
1.76,5.63E-05
1.77,4.85E-05
1.78,4.47E-05
1.79,3.88E-05
1.80,3.24E-05
1.81,3.02E-05
1.82,3.04E-05
1.83,3.21E-05
1.84,2.94E-05
1.85,2.82E-05
1.86,2.71E-05
1.87,2.38E-05
1.88,2.18E-05
1.89,2.07E-05
1.90,2.46E-05
1.91,2.19E-05
1.92,1.98E-05
1.93,1.99E-05
1.94,2.00E-05
1.95,1.97E-05
1.96,1.89E-05
1.97,1.83E-05
1.98,1.77E-05
1.99,1.71E-05
2.00,1.72E-05
2.0097,1.84E-05
2.0190,2.86E-05
2.0285,3.90E-05
2.0381,3.93E-05
2.0478,3.96E-05
2.0575,3.99E-05
2.0673,3.96E-05
2.0773,3.90E-05
2.0873,3.86E-05
2.0975,3.87E-05
2.1077,3.96E-05
2.1180,4.10E-05
2.1285,4.32E-05
2.1390,4.56E-05
2.1496,4.62E-05
2.1568,4.58E-05
2.1676,4.51E-05
2.1785,4.49E-05
2.1896,4.61E-05
2.1970,4.80E-05
2.2082,5.31E-05
2.2196,6.16E-05
2.2272,7.00E-05
2.2387,8.95E-05
2.2465,1.09E-04
2.2582,1.44E-04
2.2661,1.21E-03
2.2781,2.25E-03
2.2861,2.68E-03
2.2983,2.00E-03
2.3065,1.59E-03
2.3188,2.13E-03
2.3272,3.20E-03
2.3398,3.91E-03
2.3482,3.74E-03
2.3568,3.62E-03
2.3697,2.55E-03
2.3784,2.34E-03
2.3872,2.93E-03
2.3960,3.01E-03
2.4093,2.22E-03
2.4183,1.86E-03
2.4274,1.75E-03
2.4365,1.68E-03
2.4457,1.82E-03
2.4596,2.20E-03
2.4690,2.01E-03
2.4784,2.49E-03
2.4880,3.42E-03
2.4975,3.96E-03
2.5072,3.39E-03
2.5169,2.42E-03
2.5268,2.34E-03
2.5366,2.30E-03
2.5466,2.05E-03
2.5567,2.58E-03
2.5668,2.71E-03
2.5770,2.40E-03
2.5873,2.75E-03
2.5976,3.39E-03
2.6081,3.54E-03
2.6186,2.89E-03
2.6293,2.45E-03
2.6400,2.44E-03
2.6454,2.55E-03
2.6562,2.62E-03
2.6671,2.65E-03
2.6782,2.85E-03
2.6893,2.74E-03
2.6949,2.71E-03
2.7061,2.62E-03
2.7175,2.13E-03
2.7289,1.94E-03
2.7347,1.93E-03
2.7462,2.09E-03
2.7579,2.58E-03
2.7697,2.76E-03
2.7756,2.84E-03
2.7876,3.24E-03
2.7996,3.39E-03
2.8057,3.22E-03
2.8179,2.77E-03
2.8240,2.75E-03
2.8364,2.72E-03
2.8489,2.47E-03
2.8551,2.51E-03
2.8678,2.74E-03
2.8741,3.09E-03
2.8869,3.97E-03
2.8998,3.91E-03
2.9063,3.60E-03
2.9194,3.04E-03
2.9260,2.82E-03
2.9393,2.66E-03
2.9460,2.71E-03
2.9594,2.50E-03
2.9662,2.37E-03
2.9798,2.22E-03
2.9867,2.45E-03
2.9936,2.85E-03
3.0075,3.68E-03
3.0145,3.39E-03
3.0286,2.70E-03
3.0357,2.63E-03
3.0499,2.06E-03
3.0571,1.83E-03
3.0644,1.88E-03
3.0789,2.34E-03
3.0863,2.44E-03
3.0936,2.37E-03
3.1085,2.39E-03
3.1159,2.28E-03
3.1234,1.90E-03
3.1386,1.58E-03
3.1462,1.76E-03
3.1538,1.74E-03
3.1693,1.40E-03
3.1770,1.67E-03
3.1848,1.91E-03
3.1927,2.05E-03
3.2085,2.14E-03
3.2164,2.15E-03
3.2244,2.49E-03
3.2325,2.81E-03
3.2487,2.06E-03
3.2569,1.78E-03
3.2651,1.89E-03
3.2733,1.96E-03
3.2899,2.00E-03
3.2983,2.12E-03
3.3067,2.28E-03
3.3152,2.65E-03
3.3237,3.20E-03
3.3322,3.74E-03
3.3494,5.76E-03
3.3581,8.01E-03
3.3668,1.01E-02
3.3756,1.10E-02
3.3844,1.11E-02
3.3933,1.14E-02
3.4022,1.22E-02
3.4111,1.32E-02
3.4292,1.43E-02
3.4383,1.33E-02
3.4474,1.07E-02
3.4566,7.49E-03
3.4658,5.29E-03
3.4751,4.65E-03
3.4845,5.07E-03
3.4939,5.76E-03
3.5033,5.97E-03
3.5128,5.21E-03
3.5224,3.80E-03
3.5320,2.85E-03
3.5416,2.88E-03
3.5513,3.16E-03
3.5611,2.92E-03
3.5709,2.15E-03
3.5807,1.49E-03
3.5907,1.35E-03
3.6006,1.59E-03
3.6107,1.75E-03
3.6207,1.85E-03
3.6309,1.76E-03
3.6411,1.62E-03
3.6513,1.69E-03
3.6617,2.00E-03
3.6720,2.24E-03
3.6825,2.31E-03
3.6930,2.15E-03
3.7035,1.69E-03
3.7141,1.37E-03
3.7248,1.42E-03
3.7355,1.82E-03
3.7463,2.13E-03
3.7572,2.20E-03
3.7681,2.06E-03
3.7791,1.86E-03
